cuce,entidad,objeto_de_contratacion,subasta,fecha_Presentación,archivos
25-1210-00-1541378-1-1,Gobierno Autonomo Municipal De Caranavi,Fortalecimiento Del Programa Salud “Adquisición De Repuestos Para El Mantenimiento Mecánico De La Ambulancia Del Centro De Salud Moscovia Marca Nissan Modelo Urvan Y Con Placa De Control 4532 Ssc”,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0423-00-1540804-1-1,Caja De Salud De Caminos Y Ramas Anexas,Compra De Insumos Y Reactivos Para La Unidad De Laboratorio Hospital – Regional La Paz,No,07/04/2025,"Oferta del Proveedor Identificado
Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1302-00-1541394-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Material De Construccion Para Mantenimiento De Redes De Agua Y Alcantarillado Sanitario,No,07/04/2025,
25-0423-00-1540757-1-1,Caja De Salud De Caminos Y Ramas Anexas,Compra De Insumos Para Distribución A Diferentes Unidades Del Hospital – Regional La Paz,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado
Oferta del Proveedor Identificado"
25-1302-00-1541368-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Fotocopiadora Para La Direccion Administrativa Del G.A.M.Q.,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1508-00-1541335-1-1,Gobierno Autonomo Municipal De Betanzos,"Servicios De Salud Universal Y Gratuita - Sus - ""Adquisición De Medicamentos""",Si,09/04/2025,"Convocatoria
Documento Base de Contratacion
Especificaciones Tecnicas"
25-1257-00-1541217-1-1,Gobierno Autonomo Municipal De Irupana (Villa De Lanza),Compra De Complemento Nutricional Adulto Mayor (Carmelo) Para Los Centros De Salud Del Municipio De Irupana Dependiente Del Gobierno Autónomo Municipal De Irupana,Si,09/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1229-00-1540481-1-1,Gobierno Autonomo Municipal De Tipuani,Servicios De Salud Universal Y Gratuita - Sus (Adquisicion De Medicamentos E Insumos Para Los 4 Centros De Salud Del Municipio De Tipuani. Correspondiente Al Primer Trimestre De La Gestion 2025 Y Items Declarados Desierto Segun D.S. 4505),No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1302-00-1531898-2-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Toners Tinta Para Todas Las Unidades Del Municipio De Quillacollo,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1532-00-1537305-2-1,Gobierno Autonomo Municipal De Porco,Adquisicion De Alimentos Frescos Y Carnes Magras Para La Provision A Los Internados Del Municipio De Porco Gestion 2025,Si,08/04/2025,"Especificaciones Tecnicas
Documento Base de Contratacion
Convocatoria"
25-1312-00-1541340-1-1,Gobierno Autonomo Municipal De Sacaba,Mantenimiento Y Mejoramiento Sistema De Riego Distrito 5 (Adquisicion De Valvulas Tranca Centro),No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1753-00-1539955-1-1,Gobierno Autonomo Municipal Fernandez Alonzo,Adquisición De Reactivos E Insumos De Laboratorio Para Pacientes Del Sus Ley 1152 Para Los 4 Centros De Salud Del Municipio De Fernandez Alonso Correspondiente A La Gestión,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1218-00-1541356-1-1,Gobierno Autonomo Municipal De Inquisivi,"Adquisición De Alimento Complementario ""Nutribebe"" Para Los 11 Centros De Salud Del Municipio De Inquisivi",Si,08/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1302-00-1541373-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Material De Imprenta Para El Programa Safci - Mi Salud 2025,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1232-00-1540946-1-1,Gobierno Autonomo Municipal De Copacabana,1ra Adquisicion De Medicamentos Para El Centro De Salud Integral Copacabana - Sabs D.S. 181,No,09/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0389-00-1541376-1-1,Navegacion Aerea Y Aeropuertos Bolivianos,"Adquisición De Papel Bond Tamaño Carta, Oficio Y Papel De Color 2025 - Regional Cochabamba",No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-2303-00-1536631-2-1,Empresa Municipal De Areas Verdes Y Recreacion Alternativa - Emavra,Adquisicion De Pintura Impermeable De Piscina Para La Unidad De Administracion De Parques Recreacionales,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1113-00-1541374-1-1,Gobierno Autonomo Municipal De Villa Alcala,Adquisición De Productos Secos Y Material Para El Funcionamiento Del Centro Infantil Municipio Alcalá Y Material De Limpieza Para El Área De Educación Alcalá,No,07/04/2025,
25-0423-00-1541018-1-1,Caja De Salud De Caminos Y Ramas Anexas,Adquisición De Medicamentos (Etapa Iii) Para La Unidad De Almacén – Regional La Paz,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1304-00-1541367-1-1,Gobierno Autonomo Municipal De Tiquipaya,"Compra De Ropa De Trabajo, Para Trabajadores Del Gobierno Autonomo Municipal De Tiquipaya Gestion 2025",Si,07/04/2025,
25-1128-00-1537676-1-1,Gobierno Autonomo Municipal De Machareti,Adquisición De Medicamentos E Insumos (Sus) Primera Compra Municipio De Machareti 2025,Si,07/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1515-00-1541348-1-1,Gobierno Autonomo Municipal De San Pedro De Buena Vista,Adquisición E Implementación De Cámaras De Seguridad En San Pedro De Buena Vista,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1532-00-1533723-2-1,Gobierno Autonomo Municipal De Porco,Adquisicion Anual De Complemento Nutricional (Nutribebe) Para Niños De 6 A 23 Meses Para Rssm Safci Porco Gestion 2025,Si,08/04/2025,"Especificaciones Tecnicas
Convocatoria
Documento Base de Contratacion"
25-1302-00-1541357-1-1,Gobierno Autonomo Municipal De Quillacollo,Adquisicion De Cemento Ip-30 Para Mejoramiento Y Mantenimiento De Sistemas De Riego Del Distrito 7 (Asociacion De Regantes ),No,07/04/2025,
25-1524-00-1541352-1-1,Gobierno Autonomo Municipal De Mojinete,Adquisición De Medicamentos Para La Rssmm (1ra Adquisición),Si,07/04/2025,
25-1712-00-1541344-1-1,Gobierno Autonomo Municipal De Yapacani,Adquisición De Materiales Eléctricos Para El Proyecto Refacción De Unidades Educativas,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1302-00-1541346-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Camisa Y Chaleco Para El Personal De Emaq Primera Dotacion Gestion 2025,No,07/04/2025,
25-0047-15-1541068-1-1,Servicio Nacional De Sanidad Agropecuaria E Inocuidad Alimentaria Senasag,Adquisicion De Papel Para Uso Del Proyecto Tuberculos Y Raices A Nivel Nacionaldelo Del Cultivo De Yuca,No,07/04/2025,
25-1204-00-1541354-1-1,Gobierno Autónomo Municipal Ecológico Productivo De Achocalla,Adquisición De Mobiliarios Para La Unidad Educativa Marcelo Quiroga Santa Cruz,Si,07/04/2025,
25-0143-00-1541343-1-1,Universidad Autonoma Tomas Frias,Adquisición De 1 (Un) Equipo De Computación Estacionaria Para Dirección De Postgrado,No,07/04/2025,
25-1312-00-1541341-1-1,Gobierno Autonomo Municipal De Sacaba,"Adq. Equip. Centros De Capacitacion Municipal Genero Y Generacional Distrito 4 (Compra De Equipamiento En Reposteria, Tejido Y Costura Para Los Centros De Capacitacion Del Distrito - 4)",No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0423-00-1540989-1-1,Caja De Salud De Caminos Y Ramas Anexas,Adquisición De Insumos Médicos Y Medicamentos (Etapa Vi) Para La Unidad De Almacén – Regional La Paz,No,07/04/2025,"Oferta del Proveedor Identificado
Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1204-00-1541347-1-1,Gobierno Autónomo Municipal Ecológico Productivo De Achocalla,Mantenimiento Y Mejoramiento De Sistemas De Riego Y Microriego (Adq. De Cemento Para La Comunidad De Pucarani),No,07/04/2025,
25-1305-00-1539469-1-2,Gobierno Autonomo Municipal De Vinto,"""Compra Semestral De Insumos Medicos, Odontologicos Y Dispositivos Medicos Para Los Centros De Salud De Primer Nivel Para El S.U.S.""",Si,08/04/2025,"Convocatoria
Documento Base de Contratacion
Especificaciones Tecnicas"
25-1205-00-1541094-1-1,Gobierno Autonomo Municipal De El Alto,Servicios De Salud Universal Y Gratuita - Sus (Adquisicion De Sevoflurano Para Farmacia Del Hmla - 2025),Si,09/04/2025,"Documento Base de Contratacion
Convocatoria"
25-0902-34-1541330-1-1,Desarrallo De La Salud - Hospital El Alto Sur,Adquisicion De Insumos Descartables Para La Atencion De Pacientes Del Heas,Si,08/04/2025,"Documento Base de Contratacion
Convocatoria"
25-0251-00-1541329-1-1,Instituto Nacional De Salud Ocupacional,Adquisicion De Peliculas Radiograficas Digitales Para El Servicio De Radiologia De La Utmt Gestion 2025,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-0417-09-1541315-1-1,Caja Nacional De Salud - Regional La Paz,19 Items. Viveres Secos. Unidad Economato Central Regional La Paz,Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1204-00-1541045-1-1,Gobierno Autónomo Municipal Ecológico Productivo De Achocalla,Compra De Insumos Odontologicos Centro De Salud D-9 Urb.6 De Agosto Primer Semestre,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1303-00-1540449-1-1,Gobierno Autonomo Municipal De Sipe Sipe,"Compra De Insumos De Laboratorio Para Pacientes Del (S.U.S)” Sistema Unico De Salud Ley Nº 1152 1er Semestre, Municipio De Sipe Sipe Gestion 2025",Si,08/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1811-00-1540869-1-1,Gobierno Autonomo Municipal De San Ignacio De Moxos,Adquisición De Medicamentos E Insumos Médicos Para Los Servicios De Salud Del Municipio De San Ignacio De Moxos,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0902-40-1541177-1-1,"Hospital Del Niño ""Dr. Ovidio Aliaga Uria""",Adquisicion De Dispositivos Medicos Varios (Ii),Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1302-00-1541332-1-1,Gobierno Autonomo Municipal De Quillacollo,"Adquisición Miel De Abeja Para El Almuerzo Escolar De Las U.E Calama, Franklin Anaya Y San Martin De Porres Gestión 2025",No,07/04/2025,
25-1302-00-1541325-1-1,Gobierno Autonomo Municipal De Quillacollo,Adquicisión De Arroz En Grano (Alimentación Complementaria) Almuerzo Escolar De Las U.E Calama. Franklin Anaya Y San Martin De Porres Gestión 2025,Si,08/04/2025,
25-2312-00-1540047-1-1,Empresa Municipal De Agua Potable Y Alcantarillado Viacha - Emapav,"Adquisición De Tuberia Pvc E-40 De 2” Para Ampliacion Y Renovcacion Del Sistema De Agua Potable D-1, D-2 Y D-6 Del Municipio De Viacha",Si,09/04/2025,"Documento Base de Contratacion
Convocatoria
Aprobación de la entidad para elaboración del DBC (no existe modelo del Organo Rector)"
25-1328-00-1541281-1-1,Gobierno Autonomo Municipal De Santivanez,Adquisicion De Luminarias Led Para El Mantenimiento De Alumbrado Público En El Parque Industrial,Si,08/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1704-00-1529487-2-1,Gobierno Autonomo Municipal De La Guardia,Adq. De Ventiladores Para Mantenimiento De Unidades Educativas De Dm-3 Y Dm4 Pertenecientes Al G.A.M.L.G.,Si,09/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1307-00-1541321-1-1,Gobierno Autonomo Municipal De Aiquile,Adquiscion De Materiales De Construccion Para La U.E. Simon Bolivar Del Municipio De Aiquile Segun Decreto Ds.4505 Hecho En Bolivia,No,04/04/2025,
25-0908-35-1541292-1-1,Hospital Presidente German Busch,"H.P.G.B./Anpe/Bienes/Nº09/2025 ""Adquisicion De Medicamentos Escenciales Para Abastecer Al Hospital Presidente German Busch - Trinidad",Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-0015-05-1538815-1-1,Direccion Nacional De Instruccion Y Ensenanza - Policia Nacional,Compra De Toners Para Impresoras Y Fotocopiadoras De La Direccion Nacional De Instruccion Y Enseñanza,Si,09/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1205-00-1541024-1-1,Gobierno Autonomo Municipal De El Alto,Servicios De Salud Universal Y Gratuita - Sus (Adquisición De Hiv Prueba Rapida Y Sifilis Para El Hmla - 2025),Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1302-00-1541312-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Soluciones Antisépticos Y Vaselina Liquida Para Establecimientos De Salud De Primer Y Segundo Nivel Gestión 2025,Si,07/04/2025,
25-0902-34-1540699-1-2,Desarrallo De La Salud - Hospital El Alto Sur,Adquisicion De Instrumental Quirurgico Menor Para La Unidad De Esterilizacion-Heas,Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1204-00-1539549-1-1,Gobierno Autónomo Municipal Ecológico Productivo De Achocalla,Compra De Insumos Odontologicos Centro De Salud Achocalla Primer Semestre,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1704-00-1541317-1-1,Gobierno Autonomo Municipal De La Guardia,Equipamiento De Mobiliario Para La U.E Nacional América I Dm-4 Del Municipio De La Guardia.,No,07/04/2025,
25-1404-00-1537873-1-1,Gobierno Autonomo Municipal De Challapata,Servicios De Salud Universal Y Gratuita - Sus (Adquisicion De Insumos De Cocina Para El Hospital De Ii Nivel San Juan De Dios Challapata),Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1801-00-1534921-2-1,Gobierno Autonomo Municipal De Santisima Trinidad,Provision De Menu Variado Puerto Almacen- Puerto Varador- Puerto Geralda Y Los Puentes Para La Dotacion De Alimentacion Complementaria Escolar Primer Semestre Gestion 2025,Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1704-00-1541311-1-1,Gobierno Autonomo Municipal De La Guardia,La Adquisición De Mobiliario Escolar (Mesa) Para Las Distintas Unidades Educativas Gestión 2025,No,07/04/2025,
25-1206-00-1541134-1-1,Gobierno Autonomo Municipal De Viacha,Apoyo Al Deporte Distrito 3 (Adquisición De Poleras Deportivas Para Las Comunidades De La Jach'A Marka Originario Viacha),Si,08/04/2025,
25-0424-08-1541264-1-1,Caja De Salud Cordes Regional Cochabamba,Adquisición De Tarjetas Pvc Para Impresión De Carnet Afiliaciones I,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1435-00-1541297-1-1,Gobierno Autonomo Municipal De Soracachi,Adq. De Materiales De Construcción: Proyecto “Const. Tinglado U. E. Simon Bolivar De Lequepalca Comunidad De Lequepalca”,No,04/04/2025,
25-0417-01-1541050-1-1,Caja Nacional De Salud (Regional Tarija),"Adquisicion De Reactivos, Para Contador Abacuss 5, Para Laboratorio Hai Obrero.",Si,08/04/2025,"Documento Base de Contratacion
Convocatoria"
25-0035-00-1541203-1-1,Ministerio De Economia Y Finanzas Publicas,G25-Dgaa-Uti - Adquisicion De Discos Duros Y Accesorios Para Servidores,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1101-00-1538525-2-1,Gobierno Autonomo Municipal De Sucre,Adquisicion De Aceite Comestible De Soya De 900 Ml Para El Programa Alimentacion Complementaria Diferenciada Area Rural - Gestion 2025,Si,08/04/2025,"Documento Base de Contratacion
Convocatoria
Especificaciones Tecnicas"
25-1704-00-1541283-1-1,Gobierno Autonomo Municipal De La Guardia,Adquisicion De Dos Escritorios De Madera Para La Direccion Municipal De Plan Regulador Del Gam La Guardia,No,07/04/2025,
25-1401-03-1541284-1-1,Secretaria Municipal De Salud Integral Y Deportes,Adquisicion De Material De Limpieza Para El Hospital De Segundo Nivel Barrios Mineros Gestion 2025,No,08/04/2025,
25-0137-00-1541268-1-1,Comite Ejecutivo Universidad Boliviana Ceub,Adquisición De Equipo Portatil (Laptop) Para Actividades De Planificación En El Ceub,No,07/04/2025,
25-1204-00-1539652-1-1,Gobierno Autónomo Municipal Ecológico Productivo De Achocalla,Compra De Insumos Odontologicos Centro De Salud Distrito 8 Primer Semestre,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1701-00-1540437-1-1,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,"Adquisicion De Reactivos De Laboratorios Para La Red De Salud Centro, Primera Compra, Sms",Si,09/04/2025,"Documento Base de Contratacion
Convocatoria"
25-0906-39-1541090-1-1,"Hospital Materno Infantil ""Dr. Juan Manuel Jijena Duran""",Adquisicion De Reactivos De Laboratorio Para El Hospital Materno Infantil Dr. Juan Manuel Jijena Duran,Si,09/04/2025,"Especificaciones Tecnicas
Convocatoria
Documento Base de Contratacion"
25-0418-03-1537404-1-1,Caja Petrolera De Salud Departamental Cochabamba,"Adquisicion De Material De Construccion, Ferreteria Y Pintura",No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1260-00-1541242-1-1,Gobierno Autonomo Municipal De La Asunta,Mantenimiento Y Reparacion De Unidades Educativas - Mejoramiento U.E. Villa Barrientos (Adquisicion De Materiales),No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0417-09-1539027-1-1,Caja Nacional De Salud - Regional La Paz,176 Fco. Fluoresceina Sodica 10%. Examenes Complementarios Hode Otorrino Oftalmologico,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1101-00-1541246-1-1,Gobierno Autonomo Municipal De Sucre,Adquisicion De Equipo Rtk Gnss Para La Sub Alcaldia Del D-5,Si,08/04/2025,"Especificaciones Tecnicas
Documento Base de Contratacion
Convocatoria"
25-906-23-1541254-1-1,Banco De Sangre De Referencia Departamental De Tarija,Adquisición De 14 Kits De Quimioluminiscencia Hiv Ab-Ag Combi (Clia) Para El Banco De Sangre De Referencia Departamental Tarija.,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-0417-04-1535653-2-1,Caja Nacional De Salud Regional Cochabamba,Pistola De Sutura Mecanica Laparoscopica 60 Mm,Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-0906-39-1541080-1-1,"Hospital Materno Infantil ""Dr. Juan Manuel Jijena Duran""",Adquisicion De Reactivos De Laboratorio Para El Apoyo Al Diagnostico Requerido Por Los Diferentes Servicios Del Hospital Materno Infantil Dr. Juan Manuel Jijena Duran,Si,09/04/2025,"Especificaciones Tecnicas
Convocatoria
Documento Base de Contratacion"
25-906-23-1541250-1-1,Banco De Sangre De Referencia Departamental De Tarija,Adquisición De 21 Kits De Quimioluminiscencia Hbsag (Clia) Para El Banco De Sangre De Referencia Departamental Tarija.,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0417-09-1540902-1-1,Caja Nacional De Salud - Regional La Paz,6 Items. Insumos Medicos. Servicio De Traumatología Cimfa 9 De Abril,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-0680-00-1541194-1-1,Contraloria General Del Estado,Adquisición De Toners Para Impresoras Y Fotocopiadoras Gerencia Departamental De Chuquisaca,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1204-00-1538424-1-1,Gobierno Autónomo Municipal Ecológico Productivo De Achocalla,Compra De Medicamentos E Insumos Centro De Salud Distrito 8 - Primer Trimestre,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1427-00-1541226-1-1,Gobierno Autonomo Municipal De Pampa Aullagas,Adquisición Complemento Nutricional Para La Adulta Y Adulto Mayor “Carmelo” Para El Centro De Salud De Pampa Aullagas,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-906-23-1541241-1-1,Banco De Sangre De Referencia Departamental De Tarija,Adquisición De 13 Kits De Quimioluminiscencia Anti Hcv (Clia) Para El Banco De Sangre De Referencia Departamental Tarija.,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0389-00-1541221-1-1,Navegacion Aerea Y Aeropuertos Bolivianos,Adquisicion Barra De Luz Destelladora Para Vehiculos Y Baterias,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1301-00-1541237-1-1,Gobierno Autonomo Municipal De Cochabamba,"Adquisición De ""Papel Bond"" Para El Departamento De Juventudes",No,04/04/2025,
25-1101-00-1541231-1-1,Gobierno Autonomo Municipal De Sucre,"Adquisición De Tubería Hdpe Para Mantenimiento Sistema De Microriego Comunidad Chufle, Ruffo Y Tacchi .",No,04/04/2025,
25-0142-00-1541219-1-1,Universidad Tecnica De Oruro Uto,Adquisicion De Ropa De Trabajo 2025,No,04/04/2025,
25-1101-00-1541225-1-1,Gobierno Autonomo Municipal De Sucre,Adquisicion De Material De Limpieza (Detergente Granulado Y Detergente Vajillero) Para El Albergue Municipal Para Canes,No,04/04/2025,
25-0047-15-1541181-1-1,Servicio Nacional De Sanidad Agropecuaria E Inocuidad Alimentaria Senasag,Adquisicion De Material De Vidrio E Instrumental Menor Para Microbiologia Inocuidad Alimentaria Unalab Cbba,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1803-00-1541222-1-1,Gobierno Autonomo Municipal De Riberalta,Provision De Medicamentos E Insumos Medicos Para El Puesto De Salud Candelaria Municipio De Riberalta Primera Compra De La Gestion 2025,Si,08/04/2025,
25-1204-00-1539204-1-1,Gobierno Autónomo Municipal Ecológico Productivo De Achocalla,Compra De Medicamentos E Insumos Centro De Salud Integral Pucarani Primer Trimestre,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0520-00-1541188-1-1,Empresa Metalurgica Vinto - Nacionalizada,Compra De Hidroxido De Sodio,Si,08/04/2025,"Documento Base de Contratacion
Convocatoria"
25-0417-03-1541195-1-1,Caja Nacional De Salud Regional Santa Cruz,150 Frasco Solución Parenteral De Gran Volumen Agentes Con Gelatina (Según Disponibilidad) Supervisión Regional De Farmacia,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0902-38-1541187-1-1,Instituto Nacional De Oftalmologia,Compra De Computador All In One,No,09/04/2025,
25-0417-09-1541152-1-1,Caja Nacional De Salud - Regional La Paz,"9 Items, Productos Quimicos Y Farmaceuticos - Servicio Laboratorio - Paise El Alto",Si,09/04/2025,"Documento Base de Contratacion
Convocatoria"
25-0907-03-1541192-1-1,Asamblea Legislativa Departamental De Santa Cruz,"Primer Compra De Hojas Bond Tamaño Carta Y Oficio Para La Asamblea Legislativa Departamental De Santa Cruz, Gestión 2025",No,07/04/2025,
25-0047-18-1531131-2-1,Institucion Publica Desconcentrada Soberania Alimentaria,Adquisición De Calzados (Botines) Para El Personal Del Proyecto Mejoramiento De Las Condiciones Productivas Y De Competitividad En Tubérculos Y Raíces A Nivel Nacional,Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-0417-03-1541180-1-1,Caja Nacional De Salud Regional Santa Cruz,110000 Comprimido Capsula Cetirizina 10 Mg- Supervisión Regional De Farmacia,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
