cuce,entidad,objeto_de_contratacion,subasta,fecha_Presentación,archivos
24-0423-00-1506468-1-2,Caja De Salud De Caminos Y Ramas Anexas,Adquisicion De Reactivos E Insumos Para Laboratorio - Regional Cobija,No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor
Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1248-00-1512072-1-1,Gobierno Autonomo Municipal De Carabuco,Adquisicion De Medicamentos E Insumos Medicos Para Centro De Salud Cruz Pata Gam Carabuco,Si,24/12/2024,
24-1248-00-1512068-1-1,Gobierno Autonomo Municipal De Carabuco,Adquisicion De Medicamentos E Insumos Medicos Para Centro De Salud Con Internacion Ambana,Si,24/12/2024,
24-1265-00-1512035-1-1,Gobierno Autonomo Municipal De Coroico,Mejoramiento Sistema De Agua Potable Com. Achachicala (Adquisicion De Materiales),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1305-00-1511976-1-1,Gobierno Autonomo Municipal De Vinto,"Adquisición Supertubo De ½” (20mm) Sdr 9 Pn20, 1” (32mm) Sdr 13,6 Pn 12,5 Y 3” (90mm) Sdr21 Pn8 Para Las Comunidades (Cotani, Collpa Cala Cala, Collpa Centro, Phalta Pampa Y Chaqui Potrero",No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1202-00-1511663-1-1,Gobierno Autonomo Municipal De Palca,Adquisicion De Material De Escritorio Y Accesorios De Equipo De Computacion,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1283-00-1511573-1-1,Gobierno Autonomo Municipal De Escoma,Adq. Mat. De Construc. Sistema De Agua Potable Com. Yucka,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-4601-03-1510825-1-2,Gobierno Autonomo Regional Del Gran Chaco - Villamontes,"Adquisición De Semilla (Sorgo Forrajero, Maíz Hibrido, Gatton Panic) Para Siembra Y Acopio De Alimento Para Animales, Con Cargo Al Programa Fortalecimiento Al Sector Pecuario - Seragro Villa Montes",No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1305-00-1512063-1-1,Gobierno Autonomo Municipal De Vinto,"""Adquisición De Supertubo Hdpe De 20mm Pe100 Sdr9 Para La Organización De Mujeres Bartolinas Sisa De Palca Pampa Y Cotani""",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0901-02-1512062-1-1,Servicio Departamental De Salud Chuquisaca,Adquisicion De Instrumental Laparoscopica Para El Servicio De Quirofano Del I.G.B.J.,No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1283-00-1512054-1-1,Gobierno Autonomo Municipal De Escoma,Adquisición De Bomba Para Sistema De Agua Potable Com. Villa Jupi,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1209-00-1512056-1-1,Gobierno Autonomo Municipal De Desaguadero,Adquisición De Equipos De Instrumental Para Centro De Salud Integral Desaguadero,No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1206-00-1511840-1-1,Gobierno Autonomo Municipal De Viacha,"Const. De Enlosetados Distritos 1, 2, 3, 6 Y 7 Del Municipio De Viacha (Adquisicion De Losetas Para La Via De Ingreso A La Unidad Educativa Japon D-7)",No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0901-02-1512059-1-1,Servicio Departamental De Salud Chuquisaca,"Adquisicion De Instrumental ""Pinzas Laparoscopicas Maryland, Fondo Y Grasper"" Para El Servicio De Quirofano Del I.G.B.J.",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1322-00-1512048-1-1,Gobierno Autonomo Municipal De Arbieto,Compra De Materiales Para La Ejecucion Del Proyecto Ampliacion De Red De Agua Potable Flores Rancho,No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0902-34-1512031-1-1,Desarrallo De La Salud - Hospital El Alto Sur,Adquisición De Reactivos Turbidimetrico Dimero Para Pacientes Del Heas,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0901-02-1512050-1-1,Servicio Departamental De Salud Chuquisaca,"Adquisicion De Instrumental Laparoscopica ""Tijera Metzenbaum , Pinza Intestinal,Trocar Agudo Y Corrugado T/10mm"" Para El Servicio De Quirofano Del I.G.B.J.",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1305-00-1512046-1-1,Gobierno Autonomo Municipal De Vinto,"""Adquisición Tuberia Pvc, Acople Supertubo Y Aspersores Anti Helada Para Las Comunidades (Calatrancani, Pantipata B, Pantipata, Chaqui Potrero, Collpa Potrero Y Kaspicancha)""",No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1305-00-1512014-1-1,Gobierno Autonomo Municipal De Vinto,“Adquisicion De Herramientas De Albañileria Y Equipos Para Mantenimiento De Las Unidades Educativas Del Municipio De Vinto”,No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1248-00-1512044-1-1,Gobierno Autonomo Municipal De Carabuco,Adq. De Mallas Olímpicas Para Cancha De Fútsal Chipo Chico,No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1263-00-1512045-1-1,Gobierno Autonomo Municipal De Batallas,Construccion Heniles Comunidad Isquillani,No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1704-00-1511970-1-1,Gobierno Autonomo Municipal De La Guardia,"Adquisicion De Accesorios, Materiales De Plomeria Y Materiales Electricos Para El Mantenimiento De Centros De Salud Del Gamlg",No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0901-02-1512030-1-1,Servicio Departamental De Salud Chuquisaca,"Adquisicion De Instrumental ""Optica Laparoscopica"" Para El Servicio De Quirofano Del I.G.B.J.",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0015-01-1511955-1-1,Policia Boliviana,"Adquisicion De Toscana Para El Comando Departamental De Policia De Pando, Gestion 2025",No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1526-00-1511794-1-1,Gobierno Autonomo Municipal De Sacaca (Villa De Sacaca),"Servicios De Salud Universal Y Gratuita - Sus (Segunda Adquisición De Medicamentos E Insumos Para La Tención Del Sistema Único De Salud - Sus), ""Ítems Desiertos""",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1101-00-1512036-1-1,Gobierno Autonomo Municipal De Sucre,Adquisicion De Computadora Para La Direccion De Estudios Y Proyectos,No,23/12/2024,
24-1331-00-1511936-1-1,Gobierno Autonomo Municipal De Totora,Compra De Material De Construccion Para Trabajos De Mejoramiento Y Mantenimiento De Dos Aulas Para La Unidad Educativa Icuna De La Subcentral Icuna Comunidad De Icuna,No,23/12/2024,"Oferta del Proveedor Identificado
Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1810-00-1510662-1-1,Gobierno Autonomo Municipal De Santa Ana,Adquisicion De Medicamentos Con Recursos Economicos De Los Remanentes Del Sus Para El Centro De Salud San Juan Correspondiente A La Gestion,No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0423-00-1511712-1-1,Caja De Salud De Caminos Y Ramas Anexas,Adquisición De Reactivos E Insumos Para El Área De Laboratorio Clínico Etapa X - Regional Santa Cruz,No,23/12/2024,"Declaración Jurada del Proveedor
Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0423-00-1511707-1-1,Caja De Salud De Caminos Y Ramas Anexas,Adquisición De Reactivos E Insumos Para El Área De Laboratorio Clínico - Regional Santa Cruz,No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0423-00-1506302-1-2,Caja De Salud De Caminos Y Ramas Anexas,Adquisicion De Medicamentos Y Complemento Nutricional Para Farmacia - Regional Cobija,No,24/12/2024,"Declaración Jurada del Proveedor
Declaración Jurada del Proveedor
Declaración Jurada del Proveedor
Oferta del Proveedor Identificado
Oferta del Proveedor Identificado
Oferta del Proveedor Identificado
Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1207-00-1512019-1-1,Gobierno Autonomo Municipal De Guaqui,Adq. De Medicamentos E Insumos Para C.S.I. Guaqui - Cuarto Trimestre 2024,Si,24/12/2024,
24-0138-00-1512006-1-1,Universidad Mayor Real Y Pontificia De San Francisco Xavier,Adquisicion De Diez Vitrinas De Madera Con Destino A La Direccion De Recursos Humanos De La Universidad Mayor Real Y Pontificia De San Francisco Xavier De Chuquisaca,No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1810-00-1510650-1-1,Gobierno Autonomo Municipal De Santa Ana,"Adquisicion De Medicamentos Con Recursos De Los Remanentes Del Sus Ley (N°1152)Para El Hospital Municipal Dr. Jacobo Abularach A., Correspondiente A La Gestion2024",No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0901-02-1512017-1-1,Servicio Departamental De Salud Chuquisaca,Adquisicion De Placas Radiograficas Convencionales Para El Servicio De Rayos X Del I.G.B.J.,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0020-01-1511904-1-1,Fuerza Aerea Boliviana,Requerimiento De Telas Y Articulos Militares Clase Ii (Vestuario) Para El Personal De Suboficiales Mayores De La Promocion 1994 Que Ascenderan Al Grado De Suboficial Maestre,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0015-01-1512009-1-1,Policia Boliviana,"Adquisicion De Agua En Botellon De 20 Litros Para El Comando Departamental De Policia De Pando, Gestion 2025",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0020-01-1511965-1-1,Fuerza Aerea Boliviana,Requerimiento De Tela Y Articulos Militares Clase Ii (Vestuario) Para El Personal De Oficiales Superiores De La Promocion 1994 Que Ascenderan Al Grado De General De Brigada Aerea,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1261-00-1512012-1-1,Gobierno Autonomo Municipal De Pucarani,"Adquisición De Semilla De Alfa Alfa Para El Proyecto ""Mejoramiento De Forraje Con Semilla De Alfa Alfa En Comunidad Caviña""",No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1265-00-1511923-1-1,Gobierno Autonomo Municipal De Coroico,Mantenimiento De Sistema De Drenaje De Sistema Pluvial U.E. Felix Reyes Ortiz (Adquisicion De Materiales),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1605-00-1511806-1-1,Gobierno Autonomo Municipal De Carapari,Adquisición De Repuestos Para Motor De Maquinarias Agrícolas De La Mecanización,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1601-00-1511996-1-1,Gobierno Autonomo Municipal De Tarija,Adquisicion De Material De Construccion Para “Mejoramiento De Obras En Caminos Secundarios Comunidad Yesera Sud” (Ds Nro. 4505),No,23/12/2024,
24-1605-00-1511798-1-1,Gobierno Autonomo Municipal De Carapari,Adquisición De Lubricantes (Aceites Y Liquido De Freno) Para La Mecanización,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1262-00-1511999-1-1,Gobierno Autonomo Municipal De Laja,Const. Cancha Polifuncional Urb. 25 De Noviembre (Adq. De Materiales De Construccion),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0902-34-1512000-1-1,Desarrallo De La Salud - Hospital El Alto Sur,Adquisicion De Guantes Quirurgicos Para La Atencion De Pacientes De Internacion Del Heas,No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1261-00-1511994-1-1,Gobierno Autonomo Municipal De Pucarani,Mejoramiento Av. Huayna Potosi - Comunidad Pampajasi (Adquisición De Cemento Elaboración De Losetas),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1262-00-1511992-1-1,Gobierno Autonomo Municipal De Laja,Const. Cancha Polifuncional Urb. Berlin (Adq. De Materiales De Construccion),No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0902-34-1511983-1-1,Desarrallo De La Salud - Hospital El Alto Sur,"Adquisicion De Ropa Quirurgica Textil Cirugia Otorrinolaringologia, Neurologia, Partos Y Npt Para El Heas",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1262-00-1511980-1-1,Gobierno Autonomo Municipal De Laja,Const. Cancha Polifuncional U.E. Hugo Chavez Frias (Materiales),Si,24/12/2024,"Especificaciones Tecnicas
Documento Base de Contratacion
Convocatoria"
24-1262-00-1511987-1-1,Gobierno Autonomo Municipal De Laja,Ampliacion Sistema De Agua Com. Challajahuira (Adq. De Materiales),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1601-00-1511975-1-1,Gobierno Autonomo Municipal De Tarija,Adquisición De Productos Minerales No Metálicos Y Plásticos Para El Proyecto Construcción Del Complejo De Tratamiento De Residuos Sólidos Comunidad Pampa Galana Provincia Cercado (Paquete 5),No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1261-00-1511985-1-1,Gobierno Autonomo Municipal De Pucarani,Adquisición De Electrodomésticos De Cocina Para El Hospital Municipal De Pucarani.,No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1424-00-1511981-1-1,Gobierno Autonomo Municipal De Andamarca (Santiago De Andamarca),Servicio De Salud Universal Y Gratuita - Sus (Compra De Medicamentos Para Los Centros Y Puestos De Salud Municipio Santiago De Andamarca 4to Trimestre),Si,24/12/2024,
24-1206-00-1511811-1-1,Gobierno Autonomo Municipal De Viacha,"Const. Aulas Pedagogicas U.E. Tilata Don Bosco Distrito 7 (Adq. De Armadura De Fierro Corrugado, Parrilla De Fierro Corrugado, Hormigon Premezclado Y Otros)",No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0903-19-1511973-1-1,Hospital Clinico Viedma,"Adquisición De Factor Viii De La Coagulacion Para Pacientes Con Hemofilia, Para El Almacén De Farmacia Del Hospital Clínico Viedma",No,24/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0903-02-1511971-1-1,Servicio Departamental De Políticas Sociales Cbba,"Adquisición De Víveres Frescos (Carnes Y Otros) Para El Centro De Acogida Comunidad Terapeutica Puntiti / Programa Protección Social A Niñas, Niños, Adolescentes, Adultos Mayores Y Personas Con Discapacidad",No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1262-00-1482051-1-2,Gobierno Autonomo Municipal De Laja,Const. Casa Cultural Urb. San Marcos,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1262-00-1511967-1-1,Gobierno Autonomo Municipal De Laja,Ampliacion De Sistema De Agua Potable Com. Ticuyo (Adq. De Materiales),Si,24/12/2024,"Especificaciones Tecnicas
Documento Base de Contratacion
Convocatoria"
24-1424-00-1511947-1-1,Gobierno Autonomo Municipal De Andamarca (Santiago De Andamarca),Adquisicion De Motocicleta Para La Direccion Distrital De Educacion De Santiago De Andamarca,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1601-00-1511961-1-1,Gobierno Autonomo Municipal De Tarija,Adquisicion De Tuberia Para Ampliacion Sistema De Agua Potable Urbanizacion 20 De Agosto,No,23/12/2024,
24-0903-19-1511960-1-1,Hospital Clinico Viedma,"Adquisición De Factor Viii De La Coagulacion Para Pacientes Con Hemofilia (1), Para El Almacén De Farmacia Del Hospital Clínico Viedma",No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1261-00-1511966-1-1,Gobierno Autonomo Municipal De Pucarani,Adquisición Equipos Medicos Menores Para Los Establecimientos De Salud Del Municipio De Pucarani,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1262-00-1484926-2-1,Gobierno Autonomo Municipal De Laja,Mej. Sistema De Agua Potable Com. Ancocala Bajo (Adq. De Politubos),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1262-00-1511957-1-1,Gobierno Autonomo Municipal De Laja,Const. Enlosetado Plaza Principal Com. Capacasi (Adq. De Materiales),Si,24/12/2024,"Especificaciones Tecnicas
Convocatoria
Documento Base de Contratacion"
24-0411-00-1507400-1-2,Corporacion Del Seguro Social Militar - Cossmil,Adquisición Recurrente De Viveres Frescos A Requerimiento Para La Gestion 2025 De La Macro Regional Cossmil Cochabamba (Carne De Res Y Cerdo),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1248-00-1511939-1-1,Gobierno Autonomo Municipal De Carabuco,Adquisicion Medicamentos E Insumos Medicos Para C. S. Copusquia Del Municipio Puerto Mayor De Carabuco,Si,24/12/2024,
24-0902-34-1511919-1-1,Desarrallo De La Salud - Hospital El Alto Sur,Adquisicion De Toner Tk - 5272 Kyocera Para El Hospital El Alto Sur,No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1245-00-1511851-1-1,Gobierno Autonomo Municipal De Santiago De Callapa,Mantenimiento De Maquinaria Pesada (Adquisicion De Filtros Y Aceite De Motor),No,24/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1412-00-1511657-1-1,Gobierno Autonomo Municipal De Santiago De Huari,"Compra De Equipamiento Medico, Equipos De Oficina Instrumental Y Otros Para Los Establecimientos De Salud",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1264-00-1511910-1-1,Gobierno Autonomo Municipal De Puerto Perez,Construcción Muro De Contención Plaza Principal Comunidad Cumana Alta (Provisión Materiales De Construcción),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0020-10-1511757-1-1,Comando General Del Ejercito,"Adquisición De Medicamentos, Material Dental De Adontologia De Curación Para La Dotación A Las Gg., Pp. Uu., Y Rr. Mm. Del Ejército Para Gestion 2025",Si,24/12/2024,
24-1260-00-1511929-1-1,Gobierno Autonomo Municipal De La Asunta,Const. Canal Fluvial Las Mercedes (Adquisicion De Materiales Fase Ii.I),No,23/12/2024,
24-0411-00-1511898-1-1,Corporacion Del Seguro Social Militar - Cossmil,Adquisición Recurrente De Viveres Frescos A Requerimiento Para La Gestion 2025 De La Macro Regional Cossmil Cochabamba (Pan Y Productos De Pasteleria),No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1112-00-1511901-1-1,Gobierno Autonomo Municipal De Sopachuy,Adquisición De Productos Metálicos Alambre De Púa Para El “Protección Y Reforestación De Áreas De Recarga Hídrica En Las Cabeceras De La Microcuenca Del Rio San Antonio Municipio Sopachuy”,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0015-01-1511782-1-1,Policia Boliviana,"Adquisicion De Abarrotes, Para La Cocina Del Comando De Frontera Policial De Yacuiba, Correspondiente Al Primer Trimestre 2025.",No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-0670-01-1511877-1-1,Tribunal Electoral Departamental De La Paz,Compra De Toners,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0905-07-1511307-1-1,Hospital Tercer Nivel Potosi,Adquisicion De Herramientas Menores Para La Unidad De Mantenimiento Del Hospital De Tercer Nivel Potosi,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-0423-00-1511857-1-1,Caja De Salud De Caminos Y Ramas Anexas,Adquisicion De Medicamentos De Alta Rotacion - Regional Cobija,Si,24/12/2024,
24-1406-00-1511572-1-1,Gobierno Autonomo Municipal De Huanuni (Villa Huanuni),Adquisicion Drivers Para Luminarias De Alumbrado Publico - Municipio De Huanuni,No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1101-00-1511828-1-1,Gobierno Autonomo Municipal De Sucre,"Adquisicion De Material De Limpieza E Higiene Para Stock De Almacen Central Para Dotacion A Direccion De Contrataciones, Financiera, Gestion De Recursos Humanos Y Oficinas De La Secretaria",No,23/12/2024,
24-1215-00-1511824-1-1,Gobierno Autonomo Municipal De Patacamaya,Adq. De Semilla De Alfa Alfa Centro Toloma,No,23/12/2024,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
24-1215-00-1511803-1-1,Gobierno Autonomo Municipal De Patacamaya,Adq. De Semilla De Alfa Alfa Com. Manantial,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1404-00-1511802-1-1,Gobierno Autonomo Municipal De Challapata,Adquisicion De Tanques De Agua Ayllu Maga Culta,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
24-1335-00-1508649-1-1,Gobierno Autonomo Municipal De Puerto Villarroel,Adquisición De Sillas Y Mesas De Plástico Para Los Adultos Mayores Del Municipio De Puerto Villarroel,No,23/12/2024,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
